	GSM279601	GSM279602	GSM279603	GSM279604	GSM279605	GSM279606	GSM279607	GSM279608	GSM279609	GSM279610	GSM279611	GSM279612
209988_s_at	157.34	53.047	131.82	229.91	235.79	235.95	1208.5	1167.4	1138.1	656.77	662.76	686.69	
209995_s_at	1956.4	1887.8	2250.9	4329.8	4607.6	4424.8	1568	1439.7	1565.4	2846.5	2783.9	2677.3	
210031_at	688.21	495.34	614.19	291.42	269.77	300.8	115.83	87.357	75.658	107.03	65.889	127.66	
210103_s_at	45.5	30.525	23.192	141.86	109.55	119.43	174.55	372.71	60.893	24.246	147.52	41.94	
210116_at	1309.9	1117.3	1071.3	365.35	313.86	317.62	39.982	67.021	16.345	68.357	19.766	55.698	
210135_s_at	2565.2	2317.6	2582	1201.7	1255.4	1086.1	2466.6	2044	2283.8	2288.5	2578.4	2420.5	
210145_at	563.64	461.53	382.38	402.75	287.21	391.49	863.77	810.87	827.52	571.63	756.51	670.16	
210254_at	4784.6	4873.6	5081.5	2843.5	2418.9	2694	4436.7	4669.1	4762.5	5133.1	5017	4914	
210258_at	4527.5	4960.3	5012.8	10137	9776.4	10714	3405	3541.4	3311.2	6911.2	7401.2	6711.8	
210295_at	403.07	238.01	348.78	780.01	1303.8	779.51	2387.7	2066.1	2232.5	1297.9	1209	1511.8	
210450_at	306.62	372.43	320.4	636.35	505.04	722.3	254.07	259.63	274.03	284.6	554.09	347.7	
210467_x_at	740.81	739.42	767.22	1852.7	1770.2	2061.2	4837.5	4716.4	4518.7	2802.9	2918.7	2911.6	
210506_at	503.79	494.63	443.22	261.41	302.31	210.9	426.71	349.23	366.21	449.69	413.76	402.98	
210546_x_at	129.02	261.56	366	954.18	1042.3	941.56	2104.7	1875.8	1695.5	971.14	969.95	935.89	
210643_at	295.15	244.82	329.85	759.81	698.32	728.07	1552.4	1607.4	1419.9	968.71	1048.8	943.67	
210783_x_at	3439.4	2721.9	3187.4	1176.4	1292.3	1042.5	2441.8	2394.1	2484.6	3094	1989.1	2235.1	
210830_s_at	456.46	434.32	456.33	489.01	436.89	464.07	1071.3	1193.5	1109.1	777.21	881.96	818.61	
210942_s_at	645.37	525.63	616.72	590.75	713.51	696.67	967.34	1087.5	1030.8	873.3	835.92	737.15	
210948_s_at	524.18	465.56	612.27	216.08	257.12	225.2	250.86	208.51	223.54	202.26	139.67	69.314	
210982_s_at	9035.9	9043.8	10157	17104	23351	19934	16181	16324	18463	17743	14118	16884	
211005_at	1108.6	1069	1101.2	386.95	487.33	431.34	257.13	264.99	267.85	261.17	233.88	166.85	
211102_s_at	249.67	188.91	246.61	52.742	160.01	71.441	113.46	202.24	187.67	184.13	239.35	202.58	
211153_s_at	100.15	88.538	131.07	265.32	38.431	107.4	483.02	449.74	598.67	406.74	293.28	148.54	
211209_x_at	466.65	378.32	412.71	169.8	76.48	25.836	19.251	7.588	68.127	11.73	15.762	5.918	
211210_x_at	726.54	647.83	716.2	278.91	258.07	137.19	68.705	10.478	180.86	128.47	28.411	93.824	
211211_x_at	557.97	580.86	522.79	220.49	160.31	196.94	6.64	48.821	76.482	15.531	54.962	88.25	
211259_s_at	111.55	180.38	147.41	267.4	419.19	284.1	129.39	111.94	101.71	260.52	219.21	156.6	
211372_s_at	264.86	319.13	318.8	501.2	596.76	586.65	154.78	182.9	130.47	330.36	405.87	414.13	
211379_x_at	322.93	260.7	189.05	156.64	118.55	150.86	180.09	241.4	250.17	185.78	304.26	243.52	
211421_s_at	1597	1571.3	1789.8	887.03	785.5	970.65	1363.7	1416.7	1481.6	1577.7	1700.8	1431.7	
211458_s_at	155.81	149.63	192.95	39.896	61.009	76.439	18.533	27.227	25.622	7.179	9.038	46.302	
211478_s_at	38.824	92.705	91.319	204.65	216.71	258.53	205.88	217.31	333.12	93.551	199.54	125.94	
211603_s_at	66.651	143.23	146.88	216.59	194.28	134.87	447.25	374.81	404.85	242.39	241.45	183.63	
211633_x_at	106.73	93.715	21.37	178.9	77.734	185.07	20.08	77.831	27.491	15.313	76.131	24.521	
211634_x_at	255.05	223.7	309.41	500.67	576.99	529.77	43.95	90.901	184.65	371.49	381.3	496.67	
211635_x_at	291.64	278.38	248.22	436.19	628.69	528.17	263.54	130.25	236.93	251.41	312.71	598.48	
211640_x_at	98.177	59.437	115.02	246.57	94.838	248.13	59.919	19.844	10.739	119.88	92.647	138.66	
211643_x_at	1136.3	1229.8	923.12	1510.5	2047	1987.5	767.94	950.92	589.19	1241.8	1135.5	1464.2	
211644_x_at	17654	17758	19080	23911	37138	31382	15665	14924	16660	25832	20220	25678	
211674_x_at	423.96	371.32	475.58	1163.3	1353.5	1134.8	2699.7	2625.1	2172.3	1350	1556	1298.7	
211795_s_at	1314.9	1251.5	1166.6	398.32	481.62	488.57	321.89	268.08	303.64	276.81	307.64	328.33	
212012_at	698.08	856.48	777.23	338.06	287.67	369.15	117.62	28.233	138.08	26.048	31.119	119.52	
212013_at	439.73	313.85	425.1	179.69	236.41	173.56	110.53	103.77	123.2	50.374	64.639	81.034	
212158_at	1378.5	1347.6	1315.5	885.23	697.52	790.92	1266.8	1244.7	1093.7	1246.4	1477.3	1289.1	
212268_at	237.44	377.73	314.68	184.11	269.31	258.86	295.49	276.91	386.2	316.33	360.54	391.2	
212364_at	590.13	491.74	560.33	168.01	194.35	95.809	93.309	100.04	60.236	59.806	9.418	125.27	
212592_at	8611.7	8132.7	7832.2	13227	14400	15674	7286.9	8210.2	7010.9	11145	11186	9617	
212624_s_at	630.66	510.75	567.21	200.88	134.22	149	117.64	101	39.873	19.327	16.191	46.623	
212636_at	1361.3	1164.9	938.23	779.68	664.16	709.65	1077.5	1297.9	1000.2	1236.7	1285.9	1142.6	
212671_s_at	3356.5	3456.5	3499	9033.6	9247.8	9869	7961.7	7583.5	7994.8	7267.5	7102.3	6915.5	
212698_s_at	452.41	500.69	331.36	1538	1292.6	1443.2	1648.5	1772.8	1531.4	1021.8	1205.3	1044.1	
212713_at	43.401	18.083	35.8	21.131	18.91	17.221	13.083	22.894	10.382	11.987	19.866	14.768	
212776_s_at	454.47	387.19	405.47	163.16	206.44	121.52	198.04	281.55	270.3	407.58	347.6	242.23	
212827_at	3717.7	3932.6	3750.6	9023.9	9530.9	8775.7	3481.2	3442.7	3403	5859.4	6375	5750.6	
212993_at	973.51	1033.1	900.02	488.24	538.74	539.96	859.87	828.54	817.39	820.93	980.51	944.64	
212998_x_at	2183.1	1737.7	1556.2	4575.6	4378.2	4924.1	3488.9	3374.2	3234.5	3850	3600	3296.2	
213095_x_at	3595.1	3611.8	3827.6	687.57	1003.8	735.75	1640.6	950.23	903.86	1332.4	890.61	1353.2	
213293_s_at	836.4	691.94	639.45	2189.3	1580.9	1681.8	2921.8	2821.1	2795.5	2072.4	2034.5	1973.8	
213308_at	103.38	109.69	139.57	258.89	183.98	249.77	54.2	48.704	41.67	152.01	134.9	89.411	
213338_at	385.57	433	503.96	165.15	270.37	151.6	301.9	377.12	441.79	383.42	445.84	399.61	
213355_at	677.7	540.08	557.15	519.21	537.01	570.38	813.28	863.64	1010.8	720.65	708.25	862.44	
213423_x_at	590.08	605.58	527.03	202.45	223.16	234.98	128.03	129.43	116.37	20.999	104.77	46.177	
213456_at	795.73	785.58	790.86	306.85	282.62	271.68	14.83	110.5	48.066	13.842	60.492	16.437	
213539_at	6653.5	6305.6	7099	2204.6	2183.2	2158.2	451.36	350.57	559.42	280.14	152.58	268.63	
213668_s_at	917.59	748.92	833.25	224.07	297.27	166.69	128.8	91.984	86.57	16.878	33.174	92.112	
213802_at	636.39	705.01	577.24	476.68	354.8	403.14	639.03	721.07	539.9	651.35	775.63	809.7	
213817_at	1041.4	968.97	926.26	549.44	461.75	546.8	1013	913.33	876.12	959.86	1184	1008.5	
213894_at	983.98	924.34	1101.2	636.95	593.46	593.02	997.46	1083.5	1028.1	1028.8	865.69	1005.9	
213975_s_at	5656.5	6476	5655.1	4279	4023.5	4252.7	6147.4	6239.1	5443	6135.5	7472.2	6309	
214032_at	784.11	751.11	962.26	195.59	237.37	167.48	83.96	15.202	49.744	25.154	15.487	8.685	
214039_s_at	8128.3	8992.9	8580.8	3812.4	3733	3681.7	4331.3	4381	4265.3	4697	4770.4	4353.9	
214084_x_at	1070.1	1065.6	782.69	1590.7	1721.8	1956.7	664.12	604	586.84	1297.1	1052.1	1099.3	
214181_x_at	2046.2	1645.8	2087.1	901.67	857.5	860.01	2113.3	1586.3	1578.2	1614.5	1956.5	1985.9	
214183_s_at	14596	14145	17035	4732.3	5276.5	5086.7	1017.1	1057.1	981.84	286.98	322.59	301.9	
214254_at	1372.4	1359.1	1279.4	4024.3	3835.3	3883.8	7169.8	7277.3	7234.5	4911.3	4931.5	4345.6	
214366_s_at	283.28	314.39	292.51	390.2	493.2	414.2	160.24	143.71	248.55	336.39	275.88	272.36	
214511_x_at	2577.9	3000.5	3031.2	1482.3	1509.9	1518.1	2698.8	2619.5	2307.9	2811.3	3103.6	2925.4	
214575_s_at	23871	22457	26754	11745	18185	13639	23968	23300	25412	25803	18037	23181	
214603_at	301.84	355.91	281.31	891.47	745.3	816.89	2322.9	2393.8	2275	1096.2	1437.4	1182.9	
214612_x_at	2081.4	2096.4	1806.5	5676.8	5342.1	6122.6	11174	12254	11995	8157.3	7921.7	7454.2	
214615_at	160.22	125.93	180	492.51	369.14	533.63	581.88	862.98	606.78	513.58	484.35	361.3	
214651_s_at	1608.8	1680.2	1412.2	835.49	806.19	755.78	1294	1682.5	1563	1720.7	1650.5	1520.2	
214669_x_at	14029	12984	15045	17940	26047	23350	12941	11479	13176	19475	14736	17604	
214920_at	1454.6	1595.7	1401.7	915.38	683.67	880.82	1526.5	1516	1271.5	1473.2	1638.7	1550.4	
215051_x_at	3586.8	3452.3	3970.2	1097.9	1424.7	1166.8	1917.5	1475.3	1465.2	1881	1197	1622.4	
215176_x_at	1173.7	1141.3	1227.1	744.91	904.48	1050.2	1607.4	1083.6	1168.1	1237.3	823.01	2058.1	
215294_s_at	96.616	44.922	62.24	5.552	1.994	5.367	2.929	3.842	1.985	7.178	0.959	2.299	
215443_at	86.421	50.87	61.52	4.55	10.776	2.936	4.453	3.647	4.064	8.008	2.284	4.771	
215733_x_at	25.454	61.871	12.429	485.93	448.08	236.12	1109.1	947.96	864.27	372.15	444.16	494.39	
215784_at	130.36	126.88	143.21	41.362	30.573	59.118	42.993	48.135	68.36	17.238	5.098	85.825	
215990_s_at	352.24	380.2	399.3	626.72	616.18	502.77	321.26	245.4	261.06	370.24	400.8	478.63	
216015_s_at	383.58	349.43	444.47	116.77	227.93	173.71	286.77	292.15	394.2	261.2	348.67	347.5	
216191_s_at	138.77	145.91	118.47	281.42	297.6	268.54	373.71	467.92	393.2	278.54	262.48	227.62	
216370_s_at	9637.6	9266.3	10552	3027.2	3057.9	3108.6	699.69	622.55	595.03	260.25	248.41	224.65	
216401_x_at	273.93	286.82	187.93	333.94	45.855	468.92	396.34	350.42	415.85	141.37	117.64	191.18	
216541_x_at	154.94	120.21	124.02	211.07	299.05	194.59	52.358	70.037	94.685	109.78	107.67	137.03	
216576_x_at	601.93	508.1	558.94	1325.5	1296	1472.5	1422.5	1374.9	1539.1	1203.5	965.9	1203.5	
216667_at	1450.8	1582.4	1697.9	812.45	893.57	881.29	1337	1377.1	1499.6	1781.6	1656.4	1532.5	
216834_at	462.03	498.57	455.93	1246	1189.6	1133.6	511.94	317.06	428.88	655.41	697.26	626.55	
216905_s_at	1136.5	987.11	1099	681.56	955.2	700.56	791.95	733.49	718.14	950.15	820.85	798.72	
216925_s_at	506.74	431.39	511.02	72.619	180.69	113.42	47.997	80.147	89.743	136.19	32.787	25.819	
216950_s_at	2431.9	2134.9	2623.2	1160.1	1468.2	1294.3	2102.7	2012.6	2303.6	2372.3	2183	2145.2	
217078_s_at	106.89	107.03	144.53	333.1	594.78	275.94	474.86	680.94	606.9	272.7	348.48	263.13	
217147_s_at	402.57	412.28	382.04	188.24	193.99	183.09	95.433	85.027	104.44	56.659	79.174	97.59	
217281_x_at	269.34	200.62	195.71	191.74	326.37	175.96	214.62	259.41	227.61	327.11	189.95	299.63	
217339_x_at	144.65	105.39	68.008	521.95	478.83	506.59	881.51	791.37	1070.6	669.58	524.78	557.75	
217489_s_at	582.88	702.64	499.27	300.53	336.42	403.89	558.74	433.81	501.97	481	441.08	542.78	
217728_at	5793.7	6464.2	5667.3	2368.6	3479.3	2742.9	6201.8	4963.1	4888.8	5304.1	4911.9	6033.5	
217762_s_at	1513.7	1510	1664.7	786.26	768.54	726.99	1367.6	1395.2	1653.2	1500.4	1554.7	1601.3	
217763_s_at	973.13	915.9	875.3	514.41	567.99	423.18	854.91	727.66	911.64	842.59	943.92	890.01	
217764_s_at	2313.1	2047.9	2106.7	1400.8	1378.2	1475.8	2130.9	2013.4	1987.1	2465.1	2402.9	2071.9	
217865_at	2801.9	2672.6	2714.6	987.29	847.98	1107	1188.3	1180.7	1188.3	1372.3	1282.6	1048.7	
217963_s_at	8025.5	8160.4	9452.7	4057	4130.6	3830.3	5042.1	5178.6	4525.4	5514.3	5595.8	5523	
217979_at	1725.4	1657.4	1597.1	553.44	477.61	548.07	225.56	340.79	282.26	234.17	237.66	296.3	
218035_s_at	457.31	363.29	490.45	609.03	694.31	563.78	1539.8	1405.7	1486.7	988.12	1029.4	909.22	
218066_at	1384.1	1341.9	1434	529.7	474.37	619.87	278.31	225.12	282.21	191.73	232.59	292.66	
218656_s_at	349.96	313.82	323.57	580.71	547.11	733.08	213.93	239.18	174.66	466.79	390.08	446.87	
218717_s_at	593.01	537.45	515.44	1722.2	1883.6	1324.5	2025.3	2232.5	2599.1	2097.2	2076.5	2386.9	
218730_s_at	324.46	435.88	351.45	108.21	102.83	109.8	8.421	8.832	37.06	6.338	33.379	7.548	
218824_at	220.41	242.01	199.17	49.995	96.547	89.092	14.688	16.217	68.294	49.35	46.427	49.24	
218922_s_at	60.987	86.055	75.452	209.45	327.92	249.01	159.56	89.623	215.46	285.28	215.65	231.02	
218976_at	604	689.72	662.96	1528	1685.2	1392	823.34	700.62	577.4	1219	1041.7	1207	
218980_at	179.31	158.88	176.84	443.75	473.71	576.56	728.88	556.19	432.09	509.59	449.18	493.66	
219024_at	258.04	300	368.13	27.726	21.831	67.651	41.379	13.299	56.912	30.902	8.856	59.098	
219073_s_at	779.82	866.19	894.96	2160.9	1816.2	1813.9	654.32	667.64	615.22	1147.2	1348.7	1262.1	
219243_at	492.02	595.73	484.8	199.96	304.56	230.92	90.256	98.261	111.59	20.889	14.614	69.98	
219247_s_at	437.36	450.25	464.45	419.69	733.54	616.99	285.49	181.38	316.91	430.29	455.88	295.62	
219274_at	230.85	167.62	280.95	587.23	559.87	512.69	545.61	666.06	564.98	426.5	493.11	406.44	
219288_at	1149.3	1282.7	1230.1	602.11	538.27	627.21	1291.9	1444.7	1135.6	1186.8	1334.7	1330	
219360_s_at	223.56	212.77	380.48	73.537	33.502	27.54	205.11	299.6	199.35	246.96	275.94	326.46	
219424_at	1415.8	1466.1	1050.7	4011.4	4134.9	4037.3	4588.9	4016.7	4007.6	3024.5	3694.3	3407.8	
219517_at	1722.1	1810.4	1577.6	3879.5	3872.3	3826.9	1784.7	1662.7	1503.9	2661	2746.5	2553.2	
219518_s_at	764.47	853.77	821.54	1696.7	1884	1733.5	797.27	731.4	670.6	1174.6	1311.2	1335.1	
219528_s_at	1641	1654.8	1603.7	604.05	586.59	690.26	311.94	420.8	260.44	160.66	182.21	203.77	
219532_at	434.96	307.37	367.38	185.64	115.99	145.09	53.994	20.542	23.159	47.863	8.926	15.741	
219574_at	127.13	87.289	47.815	106.36	132.54	154.26	68.408	58.041	52.117	80.478	158.96	83.637	
219607_s_at	267.23	243.36	240.64	159.73	108.18	159.5	229.33	213.09	252.89	234.65	267.97	224.5	
219654_at	1714.2	1731.3	1547.9	670.02	542.68	599.22	625.25	528.25	623.29	551.75	655.83	508.62	
219659_at	234.79	302.63	262.74	83.415	43.418	133.96	50.942	73.978	20.942	27.911	48.253	17.054	
219714_s_at	1135	1243.5	1259	749.37	588.23	680.17	1015.6	1148.6	1061.8	1180.7	1292.3	1291.9	
219725_at	1846.8	1833.1	1984.5	948.62	1119.1	1005.4	1984.6	1723.5	1832.3	1836.1	1872.5	1951.8	
219799_s_at	4704.6	4377.1	4967.3	2584.8	2950.1	3202.4	4165.5	4374.8	5390.8	5084.8	4760.4	5146.2	
219855_at	648.94	616.38	722.28	119.27	305.84	191.67	163.91	93.05	105.08	124.19	46.842	88.835	
219937_at	975.12	1005.4	873.89	607.05	576.01	567.82	867.28	912.75	889.69	1003.8	932.83	891.18	
219945_at	639.23	516.05	589.47	299.98	279.75	452.83	69.462	122.9	149.89	103.45	77.463	76.05	
219985_at	357.4	297.01	285.82	1028.3	777.67	799.4	1164.7	996.01	915.46	664.36	510.88	651.06	
220057_at	2305.6	2261.6	2181.3	1210.6	1238.3	1134	2115.6	1865.9	2162.4	2401.4	2185.3	3217.4	
220059_at	901.63	1031.1	954.26	2548.3	2385.1	2485.5	1672.8	1601.7	1453.3	1574.3	2016.5	1660.1	
220068_at	1663.2	1592.4	1498.8	2929	3190.9	3368.4	1052.7	1021.3	1167.1	2085.4	1961.4	2105	
220129_at	172.53	174.7	263.19	704.47	494.6	581.67	1491.3	1469.1	1463.6	872.41	852.55	923.62	
220132_s_at	565.37	452.12	494.91	1283.8	1151.3	1075.2	324.23	405.03	458.5	632.1	681.86	641.52	
220301_at	22.135	55.358	55.001	171.79	135.63	125.94	218.36	152.48	109.12	85.282	146.26	71.44	
220377_at	36.653	45.132	16.866	273.39	121.53	144.53	42.769	39.253	34.335	37.361	17.528	18.048	
220416_at	1300	1151.9	1234.5	701.72	567.51	589.39	1046.8	1132.6	1143.7	1187.4	1265.7	1262.2	
220418_at	247.29	81.056	167.91	111.59	6.433	18.917	4.702	4.805	5.508	6.539	5.796	4.653	
220432_s_at	122.46	86.695	80.756	240.69	93.302	221.98	41.6	68.708	45.149	124.32	140.56	170.71	
220448_at	412.7	334.78	322.05	535.89	793.85	655.91	142.51	153.34	169.12	390.95	387.26	465.14	
220474_at	90.716	82.891	63.731	219.62	199.99	189.33	308.17	259.69	274.5	116.79	176.99	158.43	
220565_at	121.53	143.78	125.37	334.74	340.68	350.21	803.05	762.42	667.73	245.56	393.72	366.64	
221003_s_at	120.27	46.469	32.66	149.59	43.363	52.858	23.11	17.972	16.873	119.25	67.569	129.98	
221111_at	64.426	71.01	22.6	18.232	42.212	34.263	2.455	4.9	5.116	5.139	1.843	5.898	
221558_s_at	2935.1	2975.2	3065	1386.7	1455.3	1294.3	1373.1	1247.9	1281.8	990.08	804.01	942.03	
221704_s_at	645.1	670.98	727.17	206.09	265.76	227.88	218.9	173.19	211.37	247.52	230.94	194.24	
221766_s_at	7367.1	7424.7	7112.7	4258.4	5322.7	5439	6909.5	6454.9	7173.6	7398.1	6039	7581.8	
221900_at	1044.6	956.85	938.38	485.29	552.21	359.69	924.37	903.55	851.16	882.53	924.97	1237.6	
221933_at	155.93	161.13	86.766	10.457	12.178	90.497	62.354	51.718	12.426	9.961	36.873	12.927	
222144_at	637.73	723.87	724.5	329.15	313.02	357.83	494.98	561.26	497.54	541.93	637	750.87	
222288_at	513.47	519.91	436.84	199.77	130.64	173.27	77.124	33.372	26.393	67.056	51.892	27.904	
222450_at	243.7	318.45	299.64	31.613	32.341	87.312	5.951	7.744	19.365	5.609	18.042	6.438	
222463_s_at	780.15	662.56	776.77	216.72	359.57	259.32	457.71	532.76	416.76	677.02	672.21	568.36	
222698_s_at	530.62	472.98	433.65	296.3	254.27	295.27	442.68	427.86	360.84	347.23	499.38	383.54	
222722_at	497	587.7	561.23	267.04	223.84	266.53	122.76	173.88	39.37	25.351	63.917	126.54	
222803_at	284.86	203.94	188.88	397.01	288.89	387.44	916.25	1134.5	1024.5	613.09	657.27	597.01	
222895_s_at	1984.4	2166.3	1868.7	765.29	634.22	590.44	352.34	323.61	266.76	214.53	193.6	199.91	
222902_s_at	4593.2	4374.5	4279.8	1985.9	2027.3	2421.8	3540	3560.3	3795.2	4393.6	3538.8	3845	
223120_at	1535.6	1606.6	1361.3	844.19	783.34	799.42	1527	1338.8	1399.1	1278.6	1542.3	1504.6	
223170_at	235.81	220.41	234.21	79.656	211.5	27.787	96.757	35.53	114.54	88.914	9.318	62.633	
223280_x_at	2473.4	2328.6	3154.8	1693	1693.3	1506	2871.7	2415.2	2540.8	2967.1	2917.2	3144.9	
223313_s_at	210.33	176.77	268.68	11.453	46.5	41.44	5.051	9.512	11.109	19.428	5.286	14.214	
223551_at	1519.5	1444.7	1259.1	813.42	603.3	678.52	1529.7	1243.9	978.15	1166.7	1308.9	1135.6	
223622_s_at	669.82	839.69	705.54	395.6	519.25	394.65	742.26	637.95	777.71	757.02	767.68	871.31	
223642_at	2353.4	1927.4	2312.8	1204.6	925.5	1051.9	1846	1683.6	1738.1	1775.9	1738.2	2019.1	
223696_at	715.33	762.17	808.69	444.19	329.1	380.03	659.83	519.79	570.83	661.21	807.33	587.67	
223721_s_at	313.33	313.1	323.55	726.19	569.7	575.12	222.52	220.09	246.96	354.11	431.26	444.35	
223775_at	111.42	115.35	86.682	43.75	20.892	8.472	6.163	8.293	22.675	4.242	3.583	9.989	
223952_x_at	5412.6	5189.3	6035.4	2771.4	3378.3	2976.7	5226.8	5074.7	5498.5	5492.7	4990.6	5605.2	
223975_at	28.317	69.875	33.302	217.43	245.04	249.57	604.25	734.67	668.28	462.49	426.05	412.33	
224009_x_at	5382.4	4798.1	5709.7	2964.9	2837.3	2812.8	4892.4	4950.9	5121.1	6038.2	4938.9	5527.9	
224048_at	734.97	830.87	931.91	335.51	309.99	317.47	96.236	155.83	109.99	141.77	73.359	148.04	
224356_x_at	3012.4	2777.4	3045.3	1767.8	1551.9	1564.3	2852.4	2573.3	2793.6	3126.6	2954.9	2965.4	
224358_s_at	1279.8	1236.8	1291.9	727.29	737.25	698.43	1218.5	1033.9	1068.3	1123.9	1195	1018.4	
224461_s_at	199.14	77.674	109.05	244.12	176.44	245.21	595.77	527.08	625.27	476.41	401.74	312.87	
224499_s_at	793.3	704.38	680.12	1848.2	1659.8	1767.7	1363.8	1292.4	1185.2	1348.7	1517	1520.5	
224588_at	213.75	153.78	208.05	704.09	746.98	708.43	1086.8	1004.8	1202	824.34	914.53	717.56	
224589_at	140.69	108.51	85.427	260.6	318.09	204.31	362.25	400.32	442.74	275.2	306.88	274.91	
224590_at	68.717	31.029	21.744	191.9	164.03	187.92	333.25	318.82	253.23	190.34	218.64	192.29	
224710_at	25.549	8.047	14.764	166.75	113.98	179.58	450.4	418.41	587.64	219.92	248.44	206.8	
224832_at	196.99	193.7	87.139	469.18	582.35	422.77	530.62	654.64	623.48	373.13	517.14	354.57	
224862_at	2143.3	2573.1	2037.5	1080.6	797.43	944.29	862.71	849.94	653.59	699.7	1002.2	733.94	
224973_at	1852.3	2040.6	1690.9	1438	984.11	1324.9	1672.6	1784.3	1672.8	1760.9	2442.6	1814.3	
225056_at	450.12	507.55	485.61	104.28	186.52	90.016	79.415	93.069	30.561	91.648	82.062	83.714	
225129_at	1190.3	1129.2	1184	673.39	598.2	529.15	1029.3	1294.9	1111.1	1183.3	1483	1227.7	
225387_at	372.62	236.3	335.82	143.76	26.333	165.28	166.88	28.853	24.573	100	170.46	91.627	
225681_at	791.12	795	744.82	240.18	176.15	312.36	142.25	76.219	103.86	10.67	46.177	69.173	
225782_at	443.12	404.81	320.92	301.71	225.77	268.67	413.5	512.24	427.75	431.81	560.72	525.12	
225792_at	64.671	48.533	52.477	157.06	115.9	142.67	328.07	437.05	355.8	268.49	234.42	172.4	
225897_at	1011.2	1259.2	1062.9	1828.4	1620.9	1699.7	4093.6	4003.3	4086.3	2802.4	2690.2	2658.4	
225911_at	332.35	322.33	350.62	678.49	659.17	821.49	941.07	878.97	672.43	844.74	708.85	882.17	
225962_at	456.77	481.09	490.03	189.96	100.07	60.551	45.788	16.367	6.87	10.139	7.292	16.934	
226099_at	470.04	475.24	374.22	677.11	622.61	600.45	1617.3	1544.8	1484.4	988.87	1068.8	981.3	
226247_at	530.08	498.09	517.48	143.21	208.85	207.34	51.655	99.431	52.316	53.584	43.052	38.997	
226333_at	3343.4	3545.9	2970.1	2154	1688.4	2224.3	3053.3	3213.1	2673.8	3348.4	3825.2	3005.2	
226548_at	423.23	402.23	373.18	145.34	63.857	53.272	8.57	17.192	10.85	6.131	13.597	12.249	
226636_at	127.14	193.61	195.53	316.77	319.04	296.7	346.3	338.84	402.37	267.71	339.27	217.87	
226677_at	2125	1957.9	1847.7	1025	832.21	783.84	1344.1	1128.2	1334.5	1497.4	1720.8	1392.7	
226811_at	387.98	439.56	404.33	238.89	134.14	166.52	133.03	116.6	84.792	55.747	56.952	8.212	
226884_at	145.35	103.89	83.57	6.795	9.668	15.317	11.709	2.622	8.881	18.784	1.342	8.039	
227030_at	876.92	691.29	701.1	1841.1	2365.8	2068	937.76	921.68	1176.7	1260.7	1246.2	1402.6	
227034_at	91.233	126.34	37.595	164.2	283.34	277.35	409.2	247.02	514.12	250.94	261.62	219.97	
227036_at	570.68	519.07	492.89	307.75	327.74	379.72	507.81	469.56	602.56	530.88	630.3	545.71	
227174_at	134.11	96.406	175.42	322.28	382.47	314.04	597.85	518.89	548.26	357.79	308.18	365.36	
227189_at	857.29	853.58	875.91	1916.6	1798.7	1839.8	517.88	543.22	733.19	1306.7	1296.7	1327	
227266_s_at	1125.8	1029.1	985.34	413.45	446.3	396.13	238.23	291.67	324.59	242.76	294.79	266.27	
227347_x_at	694.94	640.14	671.54	158.62	130.45	168.11	19.358	76.348	41.569	55.112	27.411	27.761	
227371_at	107.07	82.364	45.919	199.56	238.32	163.28	327.6	361.33	449.31	252.77	233.18	217.49	
227372_s_at	104.7	167.07	104.17	326.58	362.04	233.01	648.27	656.62	510.56	275.81	519.69	313.11	
227623_at	70.689	75.634	70.922	266.57	195.34	221.57	558.88	577.89	507.63	337.93	300.13	342.67	
227671_at	353.69	322.13	349.15	1031.5	1050	920.41	2327.3	2216.6	2117.3	1282.1	1189.5	1571.4	
227742_at	1160.2	895.51	985.19	2551.8	2701.6	2430.5	5174.3	4734.9	5164.9	3076.8	2756.8	2801.9	
227812_at	185.52	194.35	140.04	512.19	466.12	481.88	511.34	530	532.83	342.29	358.12	319.27	
227834_at	34.691	60.008	47.615	111.37	76.151	76.614	40.576	75.461	43.912	51.112	65.825	69.044	
227915_at	17.077	24.649	16.967	306.29	175.65	304.03	565.47	481.16	481.44	311.46	413.43	283.61	
227923_at	15.628	21.51	18.761	8.864	15.329	7.546	6.553	6.555	4.938	10.021	5.552	7.287	
227947_at	841.58	773.07	633.55	407.58	415.81	417.64	761.9	607.97	607.95	558.74	944.12	744.45	
227949_at	1652.4	1697.9	1680.4	862.21	912.82	829.5	1430.9	1426.3	1432.7	1664.4	1724	1532.8	
227952_at	773.32	705.89	686.25	2238.1	1955.5	2372.5	2236.6	2276.4	2203.2	1530.9	1593.4	1417	
228056_s_at	726.91	676.31	604.95	1010.3	956.02	1096.3	763.53	661.45	502.44	962.86	911.95	789.09	
228071_at	1043.6	1034.1	942.8	448.62	381.95	375.59	221.14	178.57	185.83	48.468	114.05	86.431	
228153_at	1533.2	1627.7	1385.5	3405.8	2979.7	2832.7	1150	1025.8	935.11	2035.5	2155.2	1991.1	
228262_at	149.39	164.11	148.62	343.17	319.32	206.75	128	130.86	95.79	204.69	234.3	216.83	
228293_at	213.37	179.27	180.26	158.92	108.62	104.75	200.1	160.81	206.13	240.29	219.72	237.47	
228486_at	1003	876.78	957.45	501.51	531.96	622.13	877.37	888.52	922.36	868.48	1079.1	1109.9	
