	GSM279589	GSM279590	GSM279591	GSM279592	GSM279593	GSM279594	GSM279595	GSM279596	GSM279597	GSM279598	GSM279599	GSM279600
210467_x_at	442.73	400.63	454.31	6900.2	8920.9	9842.9	43.428	74.508	12.02	1089.6	98.204	429.22
210506_at	4.546	8.337	5.157	5.197	6.549	3.719	41.84	48.082	25.271	905.24	947.43	942.32
210546_x_at	4.912	6.865	4.999	7801.9	5064.6	5142.9	12.748	10.98	18.553	422.07	7.198	34.548
210643_at	21.192	14.767	1.24	2955.3	3485.5	3429.8	10.204	35.56	30.68	331.19	150.84	157.42
210783_x_at	287.24	195.1	265.36	26.555	47.744	7.932	90.387	9.816	105.83	8828.4	6328.4	7740.2
210830_s_at	7.892	16.784	4.673	1554.8	1932.5	1897.8	5.607	4.182	29.869	671.08	828.15	831.09
210942_s_at	9.818	4.66	28.504	2133.1	1543.7	1519.9	51.608	2.268	3.063	774.3	890.25	844.72
210948_s_at	2634.3	2391.3	2326.9	374.25	399.75	620.78	12.701	4.991	16.174	169.02	9.209	124.6
210982_s_at	16.208	3.986	10.73	22928	21456	20997	23827	26975	22588	3797.5	549.69	1502.6
211005_at	3102.2	3251	3510	8.117	23.262	87.751	39.741	63.415	76.509	217.72	282.72	319.77
211102_s_at	4.869	4.642	3.383	5.51	12.588	6.604	3.972	10.371	10.544	459.44	555.81	506.24
211153_s_at	21.252	10.396	17.373	1102.4	1475.7	1581.1	11.533	8.309	8.934	152.76	21.878	69.606
211209_x_at	867.88	836.39	827.63	8.509	19.163	25.928	22.349	32.598	55.216	21.373	24.246	11.225
211210_x_at	1833.6	1926.8	2077	109.32	33.568	139.73	136.79	119.72	68.94	44.862	23.692	19.976
211211_x_at	1470.2	1750.1	1253.6	18.056	99.166	12.049	142.51	18.667	6.825	32.516	23.176	19.822
211259_s_at	10.221	31.841	20.913	73.808	5.564	41.609	789.75	1037.5	718.61	73.71	88.62	52.199
211372_s_at	55.568	17.647	11.972	12.478	7.686	14.749	906.21	1078.3	917.75	8.855	9.508	11.26
211379_x_at	2.861	1.755	29.293	2.049	13.469	1.134	14.428	6.62	0.771	460.96	586.14	492.86
211421_s_at	7.512	35.085	75.899	40.569	7.842	34.07	74.326	70.398	92.233	4857.5	4167.1	3873
211458_s_at	277.44	356.63	257.7	21.259	10.453	4.053	5.016	1.658	5.062	8.263	64.191	8.948
211478_s_at	8.434	5.072	6.693	697.35	501.55	565.24	4.027	5.731	4.066	125.81	23.813	99.93
211603_s_at	18.078	63.41	9.809	1273	1028.5	1017.5	10.589	22.106	14.392	147.25	28.597	53.629
211633_x_at	12.394	40.122	14.952	65.24	54.751	11.832	489.61	530.97	498.28	11.855	16.625	24.997
211634_x_at	8.789	6.844	8.46	101.08	18.406	44.741	3421.4	4235.6	1921.1	7.244	21.627	8.768
211635_x_at	9.793	26.737	9.555	28.101	25.944	21.686	3678.6	5054.3	1690.8	8.938	13.293	10.026
211640_x_at	7.508	8.829	9.329	8.48	8.607	6.917	421.52	451.73	261.52	12.255	19.46	9.916
211643_x_at	35.182	18.403	16.859	283.18	327.68	298.82	1634.2	2240.8	1769.2	168.71	40.674	71.361
211644_x_at	8.635	10.116	27.304	253.77	148.33	59.48	31992	39337	29095	20.473	970.24	127.08
211674_x_at	9.132	5.596	5.682	8671.2	6318.4	6000.7	11.448	9.745	21.237	652.1	8.208	84.036
211795_s_at	3995.8	4107.4	4026.5	91.808	88.554	53.658	86.729	39.345	44.721	475.24	685.14	661.46
212012_at	2012.7	2528.6	2738.7	26.544	49.365	64.743	25.13	42.84	42.87	43.097	71.903	81.637
212013_at	1434.8	1594.4	1704.5	21.304	91.602	14.612	81.373	49.502	56.335	81.467	26.438	60.44
212158_at	78.148	121.45	9.847	2.525	4.002	5.399	2.268	3.958	3.553	2789.5	3500.9	2905.8
212268_at	5.238	8.449	5.264	5.182	12.172	5.813	13.864	17.94	10.649	717.14	891.41	762.08
212364_at	1726.2	2022.6	1776.8	50.162	14.875	57.413	14.299	29.673	12.55	8.235	39.144	61.6
212592_at	9.573	3.69	5.572	7723.1	4020.4	3938.1	22203	22442	18246	1245.7	838.92	539.18
212624_s_at	1688.6	1969.3	1565.9	20.454	25.712	38.315	16.929	85.765	36.853	16.601	91.621	26.967
212636_at	8.952	8.013	7.279	129.95	85.656	59.483	66.124	34.588	14.149	1652.7	2502.5	2265.5
212671_s_at	8.421	10.264	65.206	14923	11792	12430	10889	12272	12533	1108.5	105.08	316.83
212698_s_at	10.497	15.619	3.233	6406	4101.8	3731.7	47.16	2.301	12.297	321.49	4.265	98.588
212713_at	920.91	360.8	278.57	12.835	16.551	12.432	7.188	8.975	10.723	14.523	15.356	17.371
212776_s_at	3.998	9.455	16.07	6.72	6.945	12.444	11.155	7.615	12.107	807.46	1028.9	877.11
212827_at	51.271	31.974	106.59	3620.6	2869.8	3062.3	20986	24516	16932	474.47	368.14	263.39
212993_at	22.147	20.395	2.453	5.444	2.735	2.854	30.253	2.426	39.395	1853.7	2548.5	1817.3
212998_x_at	7.448	3.835	3.891	6561.5	5442.5	5670.3	4964.4	6176.3	5516.9	456.33	252.62	304.97
213095_x_at	6227	3315.7	7182.4	15.687	13.603	15.723	30.815	33.139	16.975	3701.9	2551.5	2759.1
213293_s_at	37.227	18.48	56.471	7503.6	6749.8	6319.9	1141	1001.6	836.93	495.56	96.162	254.5
213308_at	24.18	8.592	62.156	8.031	9.011	24.278	562.74	445.14	540.98	38.555	10.681	66.216
213338_at	6.699	94.965	28.837	8.649	7.03	9.359	6.436	9.678	3.999	777.93	818.37	758.72
213355_at	13.599	6.819	55.683	1593.3	1384.7	1357.9	7.668	6.363	3.159	702.66	797.31	841.19
213423_x_at	1225	1104.6	1118.2	358.2	138.54	31.457	6.074	14.422	17.375	11.198	16.183	66.973
213456_at	2037	3038.8	2651.2	26.381	31.993	6.359	9.294	2.972	6.149	13.799	8.455	17.435
213539_at	15297	15945	19615	53.595	26.389	76.876	42.01	20.648	74.67	64.687	41.064	45.306
213668_s_at	2805.5	3941.9	3104.9	101.83	99.884	101.13	89.866	133.42	54.957	26.867	119.65	62.432
213802_at	42.823	8.375	26.96	5.518	54.459	8.282	34.994	5.879	5.913	1188.7	1698.6	1397.9
213817_at	19.688	3.189	15.825	1.496	1.886	9.16	8.66	8.644	2.858	1456.2	2166.9	1957.4
213894_at	76.713	30.72	55.237	71.367	46.722	15.884	25.45	6.003	35.01	2180.5	2375.1	1960.2
213975_s_at	15.265	7.964	28.132	6.301	9.57	9.751	11.094	11.139	6.443	8786.6	9881.8	8143
214032_at	3927.7	2509.1	2604.2	39.128	8.33	38.497	5.442	8.146	21.518	7.115	55.475	34.104
214039_s_at	12024	14027	13597	2.326	7.232	24.499	11.332	6.654	10.293	9049.9	9362.9	8988.9
214084_x_at	13.468	10.742	15.631	402.47	115.58	199.3	4120.1	6800.4	3703.3	344.05	420.65	288.98
214181_x_at	185.69	175.36	60.904	32.351	28.571	6.472	81.94	127.84	113.84	4305.1	3867.8	4960.8
214183_s_at	24029	21601	26716	12.468	17.413	17.329	15.463	14.761	12.953	7.918	29.81	14.86
214254_at	78.328	80.661	52.812	10908	11061	11898	53.611	17.179	69.407	1633.5	107.7	774.61
214366_s_at	45.442	9.505	94.714	5.177	16.391	40.442	1329.3	1414	946.04	119.14	211.92	169
214511_x_at	15.081	10.811	49.627	15.002	10.906	22.404	11.199	18.54	20.597	5964.5	6078.4	6055.9
214575_s_at	16.852	10.907	13.306	17.889	16.975	31.777	20.478	22.277	22.657	39563	31819	36924
214603_at	175.53	180.24	175.78	3497.9	4408.1	4948	66.234	42.489	28.972	538.77	66.216	241.17
214612_x_at	311.64	249.3	169.38	16215	19442	19797	12.461	13.093	18.194	3254.6	64.684	1114.3
214615_at	9.432	2.477	8.14	1722.6	1514.7	1695.8	224.15	108.23	190.12	114.31	32.294	62.116
214651_s_at	35.992	5.551	55.527	42.216	3.515	25.404	19.453	13.464	2.489	2820.2	3738.9	2925.2
214669_x_at	44.773	85.026	35.054	7853.5	4846	5350.5	26202	33080	22511	2373.8	967.4	1028.4
214920_at	31.289	2.833	24.362	50.669	33.586	9.378	55.078	36.356	55.903	2281.5	3291.4	3119
215051_x_at	7205.5	7279.3	8289	13.958	15.255	13.874	31.073	35.768	18.431	4403.7	3873.3	4119.1
215176_x_at	13.78	11.149	7.964	3120.8	2047.1	2371.5	19.514	20.054	43.066	1408.9	33.005	969.07
215294_s_at	305.55	406.52	310.09	6.102	5.193	2.715	3.048	4.277	3.291	2.588	1.886	3.004
215443_at	514.65	342.84	351.79	2.766	5.996	9.672	1.242	2.085	3.436	11.36	47.747	6.641
215733_x_at	11.484	13.27	6.786	3564.6	2049.8	2397.6	9.251	7.926	8.321	30.664	10.606	20.442
215784_at	398.13	397.74	355.85	4.088	4.667	3.2	5.666	11.105	2.055	13.597	6.003	13.161
215990_s_at	30.426	13.094	21.944	7.062	24.802	3.786	2527.1	2544.8	1589.5	40.21	88.914	97.882
216015_s_at	13.643	6.052	3.509	3.901	4.577	4.323	3.467	7.58	5.732	861.37	981.25	924.5
216191_s_at	90.575	62.295	12.021	1074.3	616.71	665.86	7.576	37.939	1.255	82.317	5.855	73.306
216370_s_at	24917	21219	26797	86.16	69.603	41.329	78.124	119.37	107.62	27.852	85.194	72.732
216401_x_at	15.676	8.583	23.454	1198.7	733.78	877.75	20.455	13.622	26.971	147	12.841	19.979
216541_x_at	16.372	53.653	9.507	12.819	14.021	14.617	715.1	819.27	288.78	27.045	47.544	24.318
216576_x_at	102.09	25.601	16.249	10090	2750.4	2666.3	22.851	163.79	99.602	817.73	20.264	325.12
216667_at	23.701	15.072	28.876	60.895	26.209	21.228	54.339	27.025	18.618	3317.1	3235.8	3419.2
216834_at	10.39	3.967	7.799	1089.1	488.05	347.57	751.06	1415.4	2309.1	58.94	75.873	29.433
216905_s_at	7.639	4.821	16.177	7.909	4.307	5.409	1295.9	1743.4	1126.3	1746.3	1298.7	1546.1
216925_s_at	1244.2	1264.9	1423.8	13.381	40.277	100.31	23.529	19.253	25.847	15.802	25.221	97.218
216950_s_at	121.19	112.3	80.471	82.802	34.738	60.351	14.514	9.25	136.49	5872.9	5001.7	5277.1
217078_s_at	2.329	2.775	5.504	2531.3	916.63	926.72	4.672	4.079	3.064	114.78	25.361	67.291
217147_s_at	956.49	1431.2	847.58	369.73	229.01	265.9	4.026	3.372	4.447	23.295	3.632	58.267
217281_x_at	6.112	5.763	13.095	4.682	22.061	10.342	427.37	503.12	454.27	7.946	5.745	41.265
217339_x_at	19.903	5.045	19.031	1749.9	1484.1	1208.7	45.783	7.664	6.398	97.442	13.095	34.43
217489_s_at	8.104	6.441	6.84	13.677	9.863	7.883	14.69	18.66	7.991	1322	1824.1	1571.4
217728_at	2.459	2.945	18.41	228.09	65.06	171.47	4.44	4.322	3.273	12952	13999	15438
217762_s_at	12.443	19.424	11.23	62.891	94.728	54.962	44.294	8.115	37.508	2479.4	3215.9	3216
217763_s_at	8.705	10.301	6.681	23.063	28.254	18.174	7.184	60.463	8.344	1675.6	2039.3	1973.1
217764_s_at	24.814	13.489	20.445	117.77	33.432	74.033	21.149	12.537	16.578	3796.8	4840.9	4247.5
217865_at	4978.7	5004	5757.5	13.272	17.603	10.786	14.456	10.767	15.455	3274.7	3493.6	3281.6
217963_s_at	11506	11047	11727	93.736	29.472	47.323	22.716	22.042	72.248	11362	12544	11279
217979_at	4234.3	4407.1	4412.2	73.914	52.948	83.669	137.3	122.73	67.989	309.88	428.67	295.31
218035_s_at	31.249	11.434	20.171	2517	2780.7	2799.2	46.315	26.275	17.039	965.63	795.83	767.5
218066_at	3891.9	3903	4712	55.986	146.17	91.636	73.01	227.9	38.35	184.38	199.72	210.46
218656_s_at	101.52	74.382	15.14	103.77	103.81	145.93	1826.1	1905.2	1556.8	14.947	15.907	14.495
218717_s_at	14.173	7.668	12.994	7484.4	6820.5	7586.3	14.3	18.112	13.695	711.95	10.998	32.433
218730_s_at	778.98	1100.2	785.82	4.102	4.758	39.23	5.651	5.066	3.117	3.137	21.181	6.423
218824_at	888.26	802.59	795.26	47.05	13.384	5.405	11.212	10.329	12.214	32.33	9.27	73.62
218922_s_at	6.444	5.122	17.926	325.36	128.95	262.68	538.74	603.54	473.94	5.607	6.113	6.1
218976_at	241.1	116.55	114.46	900.25	625.8	677.91	4236	3475.1	3440.9	26.387	110.03	21.517
218980_at	14.684	12.319	4.833	3177.1	1427.2	1421.8	216.73	220.15	121.39	42.163	12.834	5.679
219024_at	816.13	721.32	1157.8	53.509	25.049	21.234	7.182	18.905	81.4	22.426	20.272	26.551
219073_s_at	62.977	32.775	8.314	42.61	10.49	42.933	4750.9	4743.3	4603.1	52.698	109.75	72.354
219243_at	1614.4	1661.6	1356.2	72.121	24.437	13.679	12.983	7.145	10.872	29.213	16.181	25.37
219247_s_at	35.214	39.852	99.995	92.298	40.867	96.49	3027.6	3309.7	1797.9	184.42	270.94	323.52
219274_at	29.275	5.9	2.887	2484.6	1303.8	1355.2	33.71	5.074	5.301	143.44	120.26	179.32
219288_at	7.768	6.684	36.275	285.12	284.55	269.3	6.49	26.098	6.79	2591.9	2670.1	2927.1
219360_s_at	7.379	6.802	5.096	7.858	8.672	6.88	6.616	8.188	16.086	618.71	770.77	699.67
219424_at	9.821	22.266	7.369	7721.5	8130.8	8014.7	3028.1	3405.8	4763.3	321.01	18.2	163.26
219517_at	243.35	250.62	220.62	828.66	1270.2	1143.1	10556	9376.9	8337.9	125.67	160.09	188.52
219518_s_at	112.66	87.442	162.08	376.58	629.72	465.02	6280.9	5956.7	4317.9	156.93	103.81	142.86
219528_s_at	3759.6	4487.4	5107	360.15	322.54	303.53	35.501	121.34	18.547	86.046	61.747	79.699
219532_at	1570.8	1833.5	1505.1	8.158	7.404	4.705	37.694	6.841	6.874	3.982	69.714	6.382
219574_at	9.438	36.895	6.715	23.498	11.946	13.416	635.22	855.6	433.29	43.6	32.759	6.515
219607_s_at	1.933	2.542	2.433	4.351	4.239	0.854	7.176	15.407	5.06	430.2	626.78	506.25
219654_at	3794	3758.9	3489.2	61.916	30.221	14.326	24.579	40.158	60.533	1176.3	1340.5	1155.7
219659_at	630.51	680.62	673.31	36.37	4.395	34.983	56.673	19.939	33.479	14.251	6.426	54.117
219714_s_at	16.086	28.162	12.777	5.64	5.466	3.36	23.39	35.554	12.408	2239.5	3147.5	2409.2
219725_at	20.903	92.132	11.868	36.173	31.191	27.308	13.11	10.228	12.664	3227.7	3934.3	4102.8
219799_s_at	68.787	114.04	82.966	99.236	82.083	27.514	84.757	100.3	123.8	9947.5	9068.7	9542.1
219855_at	1906.6	1860.3	2267	26.9	23.958	37.464	26.595	31.152	21.214	180.63	44.678	183.45
219937_at	3.015	8.275	22.494	5.042	19.694	6.497	20.286	4.175	7.675	1582.3	2186.7	2021.8
219945_at	2355.9	2123.5	2012.6	27.868	55.045	55.655	37.492	129.7	73.255	72.237	34.998	110.28
219985_at	9.387	2.049	23.189	2979.6	2033.3	1784.9	18.665	8.246	53.247	143.84	50.994	86.031
220057_at	38.091	13.342	8.196	296.54	318.97	318.39	38.694	25.446	28.229	5258	10103	4607.9
220059_at	22.444	14.55	8.343	3295	3007.5	2467.1	5445	5132.2	5104.4	174.42	84.567	113.72
220068_at	21.224	110.51	108.87	97.46	34.765	112	6906.1	8944	6885.4	57.23	212.47	95.949
220129_at	60.429	6.899	118.77	2616.8	3182	2958.9	47.131	103.61	13.577	372.63	77.145	170.35
220132_s_at	49.37	39.097	5.594	104.03	58.066	33.619	2885.3	2788.2	2757.1	4.794	73.52	59.379
220301_at	5.634	3.336	1.806	518.85	230.32	222.74	3.821	1.529	12.839	38.065	10.984	4.837
220377_at	10.597	6.029	7.979	172.56	9.246	12.36	1428.7	1105.6	683.13	7.938	8.458	15.49
220416_at	38.059	67.851	63.315	77.152	65.321	30.993	42.238	8.458	35.55	2560.9	2686.4	2948.6
220418_at	1183.4	844.15	1128.7	12.636	5.825	6.742	3.636	8.042	7.113	4.699	3.641	7.772
220432_s_at	36.623	35.105	25.01	2.44	46.722	1.512	722.24	646.57	524.07	26.056	31.969	3.065
220448_at	28.416	42.335	101.72	7.763	12.421	3.055	1311	1516.3	1252.8	8.358	39.652	11.964
220474_at	39.649	12.206	3.087	1163.9	616.85	634.17	6.592	22.597	34.86	55.706	5.886	27.306
220565_at	42.059	5.808	31.291	1814.5	1958.1	1501.2	13.524	54.569	8.069	246.27	10.337	45.942
221003_s_at	17.427	10.047	16.689	10.888	14.128	15.713	346.79	335.05	373.86	38.536	13.845	23.532
221111_at	230.85	307.21	171.04	2.944	16.32	36.32	6.339	5.043	9.652	3.494	3.12	5.985
221558_s_at	8524.7	8847.2	8575.4	2021.1	1822.6	2152.7	7.066	9.361	15.874	569.78	318.69	484.12
221704_s_at	2253.8	1691.7	2077.3	17.77	6.634	5.626	4.082	7.293	5.706	597.6	560.71	682.89
221766_s_at	177.58	200.75	117.36	76.277	36.043	85.728	52.921	62.611	25.965	14915	15183	14692
221900_at	19.856	8.837	19.429	7.118	7.504	11.717	5.072	11.743	9.792	1416.4	2219.6	2077.4
221933_at	572.49	576	446.79	9.26	52.362	47.749	53.469	2.693	4.146	5.865	5.896	7.791
222144_at	6.898	5.386	26.635	9.175	10.526	9.397	7.943	104.5	19.127	1472.1	933.81	872.73
222288_at	1456	2114.1	1487.9	2.25	4.993	2.756	8.695	2.496	3.886	9.639	162.56	79.999
222450_at	787.84	1454.3	1009.3	4.276	9.032	3.774	8.766	5.214	4.09	4.047	3.516	10.277
222463_s_at	22.418	6.648	19.55	6.815	7.243	11.718	6.22	8.911	11.58	1431.1	1388.6	1266.3
222698_s_at	76.106	16.708	7.115	42.347	8.102	8.364	7.415	2.602	9.21	887.92	1019.3	946.84
222722_at	1457.9	1549.2	1225.3	45.115	82.905	72.632	37.482	12.334	89.207	11.921	70.614	14.559
222803_at	5.632	42.987	35.752	1479.2	2108.1	2193.9	23.153	5.885	2.702	345.96	259.1	227.47
222895_s_at	4999.7	6468	6438	509.73	573.35	553.06	24.572	55.506	31.279	198.79	62.743	93.283
222902_s_at	265.08	318.1	290.65	4.964	113.33	17.636	6.501	27.135	9.031	8184.2	7770.6	7896.6
223120_at	18.885	6.576	66.846	368.28	248.13	237.46	7.504	10.638	5.791	2721.1	3112.7	3104.7
223170_at	1223.1	895.96	1077	8.666	12.251	90.742	10.596	17.481	8.759	35.284	7.479	13.567
223280_x_at	40.333	17.337	18.346	48.601	52.012	14.134	53.073	13.914	46.006	5986.4	6556.9	5732.6
223313_s_at	733.11	353	526.22	32.41	7.452	20.137	9.418	61.834	8.53	15.915	6.546	4.966
223551_at	59.257	52.028	61.293	88.746	71.958	32.287	18.267	1.6	33.303	2799.9	3487.8	3501.3
223622_s_at	10.381	33.516	19.164	5.528	35.859	19.603	5.833	71.334	17.356	2161.1	1726.2	1817.6
223642_at	1047.8	812.69	749.6	6.104	63.627	10.254	3.609	4.256	9.811	3735.6	3925.8	4584.9
223696_at	27.1	16.516	15.934	27.217	25.15	10.566	13.36	7.558	18.747	1158.3	1651.9	781.02
223721_s_at	82.18	62.12	16.473	291.98	255.25	214.79	1956.5	1766.5	1474.6	96.658	57.095	9.434
223775_at	216.64	452.05	379.02	4.258	5.197	7.295	6.205	7.99	2.656	6.86	10.533	8.709
223952_x_at	111.86	102.86	141.62	128.72	140.38	146.54	114.19	170.06	91.139	14935	13588	13819
223975_at	10.001	7.108	19.275	1560.6	1575.7	1714.8	27.015	15.887	44.036	179.73	21.518	89.707
224009_x_at	192.17	131.52	154.41	87.088	114.3	218.12	166.34	175.72	118	14826	13120	13788
224048_at	3552.6	2793.1	2304.3	43.169	70.395	66.33	79.762	29.861	55.061	50.435	85.507	90.219
224356_x_at	18.924	41.083	17.18	13.714	61.075	43.396	13.282	21.948	31.964	6077.3	6486.8	6115.8
224358_s_at	2.712	2.273	23.47	147.35	54.636	10.411	83.417	90.322	59.819	2179.2	2202.2	2080.7
224461_s_at	32.87	11.374	6.515	947.26	1301.7	1269.6	14.951	9.023	13.931	240.94	346.94	243.96
224499_s_at	6.143	12.097	28.739	834.81	2074.7	2069.9	7028.4	6176.8	4349.1	395.69	45.4	176.99
224588_at	15.725	3.756	5.384	3553.1	2975.3	3181	3.7	10.038	7.9	150.12	7.507	38.698
224589_at	12.706	10.282	16.712	899.38	736.42	854.95	15.968	12.501	3.982	51.49	9.762	11.162
224590_at	11.944	1.282	56.577	1061.6	936.72	933.81	9.794	3.12	3.294	35.55	2.651	4.39
224710_at	7.841	6.973	8.439	1168.1	1037.4	1155.6	7.805	8.283	21.886	26	7.836	14.89
224832_at	62.601	12.283	23.28	2366	1825	1744.8	63.832	43.625	103.65	81.873	29.745	10.286
224862_at	3683.7	5653.8	3719	109.56	150.89	164.07	2.157	1.276	2.161	1348.3	1910.5	1511.7
224973_at	11.249	22.733	22.957	21.532	12.876	2.042	2.077	4.812	28.621	2772.2	3462.2	3361.1
225056_at	2104.2	1543.9	1866.7	9.39	22.177	9.627	5.677	3.222	4.48	77.069	125.21	87.386
225129_at	48.742	40.516	15.219	378.58	359.67	329.25	5.152	4.099	10.19	2696.2	2950.9	2468.1
225387_at	1330.3	955.32	978.64	8.444	61.663	20.774	13.36	5.559	5.227	151.95	250.37	153.94
225681_at	2430.9	2730.8	2421.1	21.063	12.742	55.412	7.119	35.345	19.2	39.539	36.356	78.207
225782_at	3.025	4.158	1.722	347.59	234.51	204.07	2.756	2.201	3.059	1180.4	1039	864.17
225792_at	36.831	8.389	22.263	622.05	650.12	713.57	3.797	6.441	6.752	115.38	8.157	9.677
225897_at	293.85	218.27	166.46	6812	8188.4	8121.2	11.173	26.199	8.533	1115.6	1301	1254.2
225911_at	13.274	4.862	11.008	2154.4	2347.5	2275.3	53.67	26.174	3.693	164.84	25.184	123.59
225962_at	1537.7	1681	1573.3	14.034	7.784	12.051	15.918	7.807	13.023	35.715	25.089	20.946
226099_at	109.06	119.11	96.729	2124.4	3140.7	3013.6	0.934	0.593	1.953	547	611.29	486.27
226247_at	1408.7	1796.6	1640.9	159.07	76.303	45.293	33.754	45.477	32.1	9.361	31.342	65.003
226333_at	26.656	21.005	14.487	15.701	55.891	69.134	4.374	14.232	51.078	4937.9	6379.1	6032.1
226548_at	941.74	910.93	890.72	11.078	20.2	52.338	11.862	13.291	45.521	12.174	6.728	5.517
226636_at	18.311	8.432	6.092	1183	751.76	671.73	9.143	7.44	3.955	231.88	345.55	344.26
226677_at	2057.3	2341.3	1678.2	11.817	10.946	4.847	18.321	7.865	5.022	2519.6	3641.8	3086.9
226811_at	1168.6	1423.9	1122.5	153.34	202.66	118.6	9.461	39.771	47.192	12.392	9.167	10.005
226884_at	394.99	440.43	299.17	2.457	1.018	3.439	8.604	50.168	1.413	8.059	3.656	3.212
227030_at	252.18	324.68	286.62	1333.1	1517.9	1669.4	5078.1	5933.6	3946.2	30.676	17.949	19.994
227034_at	20.77	6.465	9.562	908.45	867.16	903.58	9.625	54.669	57.985	209.97	11.063	23.468
227036_at	18.857	8.884	4.915	49.157	40.841	47.675	1.276	1.474	29.551	1020.9	1158	899.04
227174_at	56.023	31.942	11.059	1760.8	1227.6	1220.3	49.356	32.681	33.62	161.57	46.641	67.387
227189_at	27.243	35.358	17.511	82.785	21.918	10.245	5048	5333.6	4123.9	15.397	149.68	122.9
227266_s_at	2928.4	2641.6	2556.7	64.822	55.58	31.246	13.522	49.683	26.288	461.86	520.73	619.56
227347_x_at	2130.2	1792.9	2194.3	43.154	48.339	21.367	58.242	54.142	38.749	93.807	69.657	34.325
227371_at	20.8	38.726	11.387	909.59	713.47	710.62	51.586	4.254	32.709	157.17	14.234	20.234
227372_s_at	15.799	2.979	7.373	2136.3	1539.9	1564.7	4.754	2.985	4.206	114.61	11.698	84.125
227623_at	11.342	16.067	16.331	948.23	1132.8	1201.7	13.742	19.341	5.011	62.068	21.138	29.194
227671_at	140.88	53.472	105.14	4566	5062.1	5005.8	82.581	96.934	74.372	364.52	72.133	166.73
227742_at	45.262	7.495	21.581	10588	9797.6	10001	73.71	20.485	9.192	1542.9	81.21	507.22
227812_at	12.301	5.068	16.069	1746.1	913.78	1036.4	3.461	5.212	29.471	174.04	5.011	111.75
227834_at	4.54	12.943	25.041	1.044	15.04	39.11	318.16	228.6	239.18	6.77	37.57	33.814
227915_at	20.372	10.975	16.421	762.64	1229	1149.7	27.356	9.68	10.116	22.896	27.285	37.305
227923_at	244.75	215.17	196	11.872	13.763	5.508	3.494	7.85	4.703	4.594	4.665	4.635
227947_at	195.38	292.81	238.1	1.338	3.189	2.943	25.104	10.596	3.921	1110	1877.5	1532.7
227949_at	58.663	20.43	6.629	61.105	69.889	64.117	5.399	5.457	4.882	3452.1	3910.6	3170.3
227952_at	38.31	130.79	61.775	8149.2	5134.2	4855.1	311.7	287.46	283.85	424.19	68.989	198.43
228056_s_at	2.168	5.501	2.973	316.51	397.83	364.37	2296.5	2242.6	2429.9	385.93	577.14	510.11
228071_at	1638.1	2419.5	1928.4	368.52	229.83	224.17	6.543	16.122	8.69	9.184	31.302	6.94
228153_at	717.09	423.29	431.24	56.626	125.48	84.846	8720.5	6332.9	6969.8	125.51	269.04	156.38
228262_at	32.124	11.577	13.028	72.444	61.961	21.321	885.49	536.48	582.98	2.845	12.268	14.99
228293_at	5.801	1.26	13.778	1.781	17.921	7.479	1.445	2.807	5.949	327.73	375.81	365.73
228486_at	20.7	13.121	25.319	13.787	9.143	15.882	6.868	13.215	20.179	1838.2	1727.5	2091.2
228592_at	26.137	8.489	7.431	13784	7693.3	6239.6	20312	18941	18728	754.61	395.62	283.1
228625_at	47.451	47.78	89.824	23.684	90.234	29.915	27.547	42.393	62.999	9026.9	10035	10613
228636_at	85.771	114	51.021	381.89	237.89	249.74	82.373	68.874	94.885	7675.6	10056	8895.2
228737_at	21.013	7.136	3.738	4843.8	4160.6	3962.6	1.804	21.257	4.721	567.32	495.36	501.69
228758_at	31.735	16.743	9.827	14.559	9.914	18.749	709.68	649.38	472.69	38.548	20.724	47.058
229147_at	10.645	35.97	11.298	60.612	101.07	67.024	4710.6	4156.5	4249.5	9.472	115.34	8.116
229159_at	1.993	0.207	16.587	1.311	12.313	1.522	2.768	1.201	15.268	670.73	1279.8	1228.7
229309_at	27.241	46.778	24.398	364.88	202.58	164.65	1.879	28.993	37.892	2786.1	3776.7	3291.9
229552_at	60.899	6.19	7.64	6.712	6.432	6.124	286.86	211.47	168.28	10.741	9.37	22.098
229580_at	5.963	3.06	6.094	5.145	15.511	9.991	4.901	11.02	5.936	827.73	582.53	791.27
229598_at	12.434	5.267	5.327	2.41	6.29	2.692	132.6	132.86	249.92	2.427	2.524	11.383
229638_at	11360	12978	11518	43.815	33.218	4.187	6.068	8.171	3.122	8133.1	12721	9904.7
229973_at	19.428	4.409	8.662	10909	5084.9	5275.4	21.796	2.627	4.965	621	4.094	320.21
230135_at	1224.3	1232.8	1107.6	4.555	32.618	16.916	28.84	19.589	8.481	40.575	49.927	51.554
230193_at	15.456	41.692	7.465	18.268	17.757	36.788	1410.2	1397.8	852.49	33.136	10.617	19.084
230218_at	133.29	73.379	127.35	1283	1116	1303.1	8.995	11.806	19.456	93.577	11.766	13.52
230233_at	34.155	33.325	6.608	76.027	18.033	14.541	782.72	905.05	924.96	22.437	19.263	5.401
230493_at	1268.2	1798.1	1495	33.155	13.809	86.97	37.895	44.106	5.662	66.55	34.389	46.316
230550_at	116.73	14.506	46.123	4.538	7.646	27.104	86.917	10.594	26.582	1524.9	1903.3	1849.9
230624_at	58.836	73.918	86.741	19.582	41.651	7.087	960.79	739.41	742.62	14.06	50.794	14.992
